Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,year,month,week,day_of_week,day_of_year,is_weekend,lag_1,lag_2,lag_4,roll_mean_4,roll_std_4,roll_mean_8
1,2010-05-03,1554806.68,0,46.5,2.625,211.3501429,8.106,2010,5,18,0,123,0,1643690.9,1615524.71,1540163.53,1590514.0174999998,46665.11938319535,1555366.94
1,2010-05-11,1551659.28,0,58.74,2.689,211.9563939,7.838,2010,5,19,1,131,0,1554806.68,1643690.9,1548033.78,1591420.3924999998,45587.76914450711,1567658.1625
1,2010-06-08,1605491.78,0,87.16,2.627,211.5046621,7.787,2010,6,23,1,159,0,1551659.28,1554806.68,1615524.71,1588912.16,44070.228006583435,1568973.6
1,2010-07-05,1603955.12,0,72.55,2.835,210.3399684,7.808,2010,7,27,0,186,0,1605491.78,1551659.28,1643690.9,1578978.215,29762.40484335162,1582915.7225
1,2010-08-10,1508239.93,0,63.93,2.633,211.7467544,7.838,2010,8,32,1,222,0,1603955.12,1605491.78,1554806.68,1567336.5275,46672.36346873486,1578925.2725
1,2010-09-04,1545418.53,0,65.86,2.77,210.6228574,7.808,2010,9,35,5,247,1,1508239.93,1603955.12,1551659.28,1565776.34,47468.63638363833,1578598.36625
1,2010-09-07,1546074.18,0,80.48,2.642,211.108414,7.787,2010,9,36,1,250,0,1545418.53,1508239.93,1605491.78,1550921.94,39530.83377651025,1569917.05
1,2010-10-09,1507460.69,1,78.69,2.565,211.4951902,7.787,2010,10,40,5,282,1,1546074.18,1545418.53,1603955.12,1526798.3325,21883.241476772073,1552888.27375
1,2010-10-12,1682614.26,0,46.33,2.843,211.4659526,7.838,2010,10,41,1,285,0,1507460.69,1546074.18,1508239.93,1570391.915,76961.49684785695,1568864.22125
1,2010-11-06,1542561.09,0,80.43,2.668,211.4560951,7.808,2010,11,44,5,310,1,1682614.26,1507460.69,1545418.53,1569677.555,77283.15817427942,1567726.9474999998
1,2010-12-02,1641957.44,1,38.51,2.548,211.2421698,8.106,2010,12,48,3,336,0,1542561.09,1682614.26,1546074.18,1593648.37,82233.24994456873,1572285.155
1,2010-12-03,1439541.59,0,57.79,2.667,211.3806429,8.106,2010,12,48,4,337,0,1641957.44,1542561.09,1507460.69,1576668.5950000002,108711.01540524958,1551733.46375
1,2010-12-11,1494479.49,0,59.61,2.728,212.003944,7.838,2010,12,49,5,345,1,1439541.59,1641957.44,1682614.26,1529634.9024999999,85899.45040373632,1550013.4087500002
1,2011-01-04,1495064.75,0,59.17,3.524,214.8371664,7.682,2011,1,1,1,4,0,1494479.49,1439541.59,1542561.09,1517760.8175,86795.12329086824,1543719.18625
1,2011-01-07,1488538.09,0,85.55,3.524,215.1841368,7.962,2011,1,1,4,7,0,1495064.75,1494479.49,1641957.44,1479405.9800000002,26739.314406301695,1536527.175
1,2011-02-09,1550229.22,0,87.83,3.533,215.7971409,7.962,2011,2,6,2,40,0,1488538.09,1495064.75,1439541.59,1507077.8875,28918.256517457703,1541873.24125
1,2011-02-12,1584083.95,0,48.91,3.172,218.7147333,7.866,2011,2,6,5,43,1,1550229.22,1488538.09,1494479.49,1529479.0025000002,45726.618466860404,1529556.9525000001
1,2011-03-06,1635078.41,0,83.0,3.699,215.2736553,7.682,2011,3,9,6,65,1,1584083.95,1550229.22,1495064.75,1564482.4175,61478.20413721125,1541121.6175000002
1,2011-04-02,1606629.58,0,42.27,2.989,212.5668812,7.742,2011,4,13,5,92,1,1635078.41,1584083.95,1488538.09,1594005.29,35875.48455690876,1536705.635
1,2011-04-03,1636263.41,0,59.58,3.288,213.8233327,7.742,2011,4,13,6,93,1,1606629.58,1635078.41,1550229.22,1615513.8375,25033.87781673367,1561295.8625
1,2011-04-11,1697229.58,0,54.98,3.332,217.837382,7.866,2011,4,15,0,101,0,1636263.41,1606629.58,1584083.95,1643800.2449999999,38162.92468993459,1586639.62375
1,2011-05-08,1624383.75,0,91.65,3.684,215.544618,7.962,2011,5,18,6,128,1,1697229.58,1636263.41,1635078.41,1641126.58,39334.30392951237,1602804.49875
1,2011-06-05,1629391.28,0,64.61,3.906,215.7960035,7.682,2011,6,22,6,156,1,1624383.75,1697229.58,1606629.58,1646817.0050000001,33959.35269909828,1620411.1475
1,2011-07-01,1444732.28,0,48.27,2.976,211.4047419,7.742,2011,7,26,4,182,0,1629391.28,1624383.75,1636263.41,1598934.2225000001,108036.30127316415,1607224.03
1,2011-07-10,1630989.95,0,69.31,3.285,217.0453684,7.866,2011,7,27,6,191,1,1444732.28,1629391.28,1697229.58,1582374.315,91804.49769705346,1613087.28
1,2011-08-04,1614259.35,0,67.84,3.622,215.0743939,7.682,2011,8,31,3,216,0,1630989.95,1444732.28,1624383.75,1579843.215,90388.85320531674,1610484.8975
1,2011-08-07,1534849.64,0,85.83,3.48,215.2771754,7.962,2011,8,31,6,219,1,1614259.35,1630989.95,1629391.28,1556207.805,85333.29747502027,1601512.405
1,2011-09-09,1540471.24,1,76.0,3.546,215.861056,7.962,2011,9,36,4,252,0,1534849.64,1614259.35,1444732.28,1580142.545,49580.48897965182,1589538.38375
1,2011-09-12,1799682.38,0,43.93,3.158,218.9618456,7.866,2011,9,37,0,255,0,1540471.24,1534849.64,1630989.95,1622315.6525,123656.33995628246,1602344.98375
1,2011-10-06,1588948.32,0,83.13,3.648,215.0435229,7.682,2011,10,40,3,279,0,1799682.38,1540471.24,1614259.35,1615987.895,124847.88616876927,1597915.555
1,2011-11-02,1649614.93,1,36.39,3.022,212.9367046,7.742,2011,11,44,2,306,0,1588948.32,1799682.38,1534849.64,1644679.2175,112569.35218444986,1600443.51125
1,2011-11-03,1553191.63,0,53.56,3.459,214.1110564,7.742,2011,11,44,3,307,0,1649614.93,1588948.32,1540471.24,1647859.315,108759.36919820096,1614000.9300000002
1,2011-11-11,1594938.89,0,59.11,3.297,217.9980849,7.866,2011,11,45,4,315,0,1553191.63,1649614.93,1799682.38,1596673.4425,39816.89468476517,1609494.5474999999
1,2011-12-08,1525147.09,0,90.76,3.638,215.6057878,7.962,2011,12,49,3,342,0,1594938.89,1553191.63,1588948.32,1580723.1349999998,54144.39846050259,1598355.515
1,2012-01-06,1624477.58,0,77.95,3.501,221.7472139,7.143,2012,1,1,4,6,0,1525147.09,1594938.89,1649614.93,1574438.7974999999,43989.574907506605,1609559.0074999998
1,2012-02-03,1688420.76,0,60.96,3.63,220.8480454,7.348,2012,2,5,4,34,0,1624477.58,1525147.09,1553191.63,1608246.08,67759.29050707995,1628052.6975
